,text,label,clean_teks
0,Mulai tertarik mobil listrik,Positive,tarik mobil listrik
1,Dagang kok recehan anak presiden buat pabrik mobil listrik kek lbh nyerap byk tenaga kerja mumpung dananya ngak terbatas,Negative,dagang receh anak presiden pabrik mobil listrik nyerap tenaga kerja mumpung dana batas
2,Kalo kosan/rumah lu bisa ngecharge mobil listrik ya pilihannya pasti Air EV Irit parah gila kecil lagi enak buat jalanan Tembalang,Positive,kosanrumah ngecharge mobil listrik ya pilih air ev irit parah gila enak jalan tembalang
3,Gw curiga kalo nanti mobil/motor listrik merajalele suara bisingnya justru bising frekuensi tinggi yang bikin sakit telinga,Negative,curiga mobilmotor listrik merajalele suara bising bising frekuensi bikin sakit telinga
4,karena mobil listrik ratarata single transmission yang emang untuk tujuan regenerative braking mobil listrik itu lebih irit di kota daripada di tol berarti sampe sini tau kan fungsinya,Negative,mobil listrik ratarata single transmission emang tuju regenerative braking mobil listrik irit kota tol tau fungsi
5,kalo mmg udah disita knp ngaku beban anggaran kalo mmg Esemka nya uda banyak yg pakai knp mau ganti mobil listrik knp gak pakai esemka aja,Negative,sita ngaku beban anggar esemka pakai ganti mobil listrik pakai esemka
6,bad day nemen cok hari ini nabrak motor nabrak tiang listrik terus terakhir mobil lompat di polisi tidur wisper sampe kisi ac mobil lepas cok gendeng thats all happen within less then an hour top gta,Negative,bad banget cok tabrak motor tabrak tiang listrik mobil lompat polisi tidur wisper kisi ac mobil lepas cok bodoh thats all happen within less then an hour top gta
7,memang pasti Salut sih BRI yang dukung kendaraan listrik karena problem saat ini ya karena SPKLU masih sedikit dengan dukungan kaya gini kan jadi makin cepat dukungan fasilitas mobil listrik,Positive,salut sih bri dukung kendara listrik problem ya spklu dukung kaya cepat dukung fasilitas mobil listrik
8,Selain itu sebanyak 30 mobil listrik di Regional Office RO seluruh Indonesia dan 50 sepeda motor listrik yang digunakan staff BRI BRI juga telah menggunakan sumber daya ramah lingkungan termasuk Menara BRILiaN yang telah memiliki sertifikasi Green Building,Negative,mobil listrik regional office ro indonesia sepeda motor listrik staff bri bri sumber daya ramah lingkung menara brilian milik sertifikasi green building
9,wow ternyata BRI dukung kendaraan listrik krn peduli dengan kondisi lingkungan Salut bgt jadi makin cepat deh dukungan fasilitas mobil listrik ini,Positive,wow bri dukung kendara listrik peduli kondisi lingkung salut banget cepat deh dukung fasilitas mobil listrik
10,Wow Negara Ini Melarang Warganya Pakai Mobil Listrik,Positive,wow negara larang warga pakai mobil listrik
11,Lucu bgt tadi ada mobil Wuling yg listrik lewat depan aku Jadi pengen wkwk Mobilnya mungil bgt yarobun,Positive,lucu banget mobil wuling listrik wkwk mobil mungil banget yarobun
12,Wuiih mayan nih mobil listrik exG20 Bali,Positive,wuiih mayan nih mobil listrik exg bal
13,Selamat sore Bapak dapat kami sampaikan bahwa Wuling Air ev aman dikendarai dalam posisi menanjak Wuling Air ev juga lebih unggul dari sisi mencapai torsi maksimal karena ciri khas mobil listrik torsi dan powernya yang spontan Terima kasih,Positive,selamat sore wuling air ev aman kendara posisi tanjak wuling air ev unggul sisi capai torsi maksimal ciri khas mobil listrik torsi powernya spontan terima kasih
14,Dalam menunjang operasional bisnis yang ramah lingkungan Sebanyak 30 mobil listrik dan 50 sepeda motor listrik digunakan di Regional Office seluruh Indonesia Selain itu gedung BRI juga telah tersertifikasi sebagai Green Building,Negative,tunjang operasional bisnis ramah lingkung mobil listrik sepeda motor listrik regional office indonesia gedung bri sertifikasi green building
15,Kalo udah transisi energi gini pasti enak sih  pake mobil listrik gak perlu ngantri isi bensin tinggal ngecas dirumah yaa,Positive,transisi energi enak sih pakai mobil listrik antri isi bensin tinggal ngecas rumah yaa
16,Konsep mobil listrik ini emang penting sih untuk menjadi gaya hidup masa depan,Positive,konsep mobil listrik emang sih gaya hidup
17,pemilik mobil listrik harus mensyukuri layanan home charging yang disediakan oleh PLN,Positive,milik mobil listrik syukur layan home charging sedia pln
18,penggunaan mobil listrik untuk gaya hidup merupakan sebuah hal yang sangat tepat,Positive,guna mobil listrik gaya hidup
19,sebuah layanan yang sangat efektif didalam mempermudah pengisian daya mobil listrik,Positive,layan efektif dalam mudah isi daya mobil listrik
20,layanan home charging ini merupakan hal yang sangat membantu bagi para pemilik mobil listrik,Positive,layan home charging bantu milik mobil listrik
21,Mobil Listrik Jadi Kendaraan Yang Diunggulkan Lebih Ramah Lingkungan,Positive,mobil listrik kendara unggul ramah lingkung
22,Canggih Jalan di IKN Bisa Cas Mobil Listrik,Positive,canggih jalan ikn cas mobil listrik
23,Setuju dengan apa yang dikatakan PLN ini penggunaan mobil listrik emang penting bgt untuk gaya hidup untuk masa depan,Positive,tuju pln guna mobil listrik emang banget gaya hidup
24,Layanan home charging ini bisa solusi nih biar lebih mudah untuk isi daya mobil listrik,Positive,layan home charging solusi nih biar mudah isi daya mobil listrik
25,Charging mobil listrik memang semudah itu,Positive,charging mobil listrik mudah
26,Wuling Air EV mobil listrik bisa jadi alternatif  ramah lingkungan,Positive,wuling air ev mobil listrik alternatif ramah lingkung
27,Berapa kali dpt ojol yang listrik enak banget gak ada bunyi knalpot kayak motor alay,Positive,kali ojol listrik enak banget bunyi knalpot motor alay
28,bapak ini bawanya Audi Etron  GT baru ganti awal tahun concernnya sih biar lebih ramah lingkungan kalo pake mobil listrik and im sorry girls the passenger seat is already taken tho,Negative,bawa audi etron ganti concernnya sih biar ramah lingkung pakai mobil listrik and im sorry girls the passenger seat is already taken tho
29,Ngcharge mobil listrik pake charger kodok,Negative,ngcharge mobil listrik pakai charger kodok
30,Amfuuun pak jangan atuh mending motor dan mobil listrik aja tuh yg di naikin harganya,Negative,amfuuun atuh mending motor mobil listrik tuh naikin harga
31,Bentuk mobil listrik ekonomis ini gak ada yang bener fokus di energi efisiensi ya barangkali,Negative,bentuk mobil listrik ekonomis bener fokus energi efisiensi ya barangkali
32,Nah iya mobil listrik kompor listrik Pemerataan. diduluin baru yang pretelan,Negative,iya mobil listrik kompor listrik perata diduluin pretel
33,Jgn2 nanti ada aturan Ojol hrs pakai motor listrik atau mobil listrik,Negative,atur ojol pakai motor listrik mobil listrik
34,"Saya juga heran ada pemimpin yg suka boongin pengikutnya tp masih dipercaya bikin peraturan GK mikirin rakyat BBM naik listrik naekPPN, PBB mobil Esemka GK ada buktinya masih aja di sembah 2 periode",Negative,heran pimpin suka boongin ikut percaya bikin atur pikir rakyat bbm listrik naekppn pbb mobil esemka bukti sembah periode
35,Mending token listrik Ein setor mobil ajg Berasa kek lah lu yg punya mobil ngapa gue yg ribet,Negative,mending token listrik ein setor mobil ajg asa mobil ngapa ribet
36,Ayo sob mulai beralih ke mobil listrik amp,Positive,ayo sob alih mobil listrik amp
37,ga kebayang mudik bw mobil listrik tengah perjalanan low bat pas mo isi antri waktu abis nungguin antrian charging ,Negative,bayang mudik bawa mobil listrik jalan low bat pas isi antri habis nungguin antri charging
38,semua hal jg kalau mau di cari side effectnya pasti ujung2nya ada environmental impactnya bro  animal agriculture aja termasuk top 3 penyebab global warming gue lebih di posisi berhentiin emisi yg emang impactny,Positive,cari side effectnya ujung environmental impactnya bro animal agriculture top sebab global warming posisi berhentiin emisi emang impactny
39,kalau saya mampu  ya beli mobil listrik lah yang ramah lingkungan  Btw emang marmer ada carbon emission ya Itu batu mineral bro gaada hubungannya sm penyebab utama global warming yaitu carbon emission ,Positive,ya beli mobil listrik ramah lingkung ngomong ngomong emang marmer carbon emission ya batu mineral bro hubung sebab utama global warming carbon emission
40,Jika dihitung secara cermat biaya operasional mobil listrik memiliki keuntungan lebih ekonomis jika dibandingkan mobil dengan bahan bakar fosil,Positive,hitung cermat biaya operasional mobil listrik milik untung ekonomis banding mobil bahan bakar fosil
41,Cuma di Negara Ini yang Dilarang Menggunakan Mobil Listrik,Negative,negara larang mobil listrik
42,Harusnya disubsidi yaa Pak kyk motor atau mobil listrik,Negative,subsidi yaa motor mobil listrik
43,Ngecas mobil listrik terus ada insiden gini ngeri juga ya mana harganya mahal lg ,Negative,ngecas mobil listrik insiden ngeri ya harga mahal
